"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_TinyStories - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_TinyStories - shrinkage.l2_ratio__MAX"
"599","2.4809558391571045","2.4809558391571045","2.4809558391571045","0.31612110137939453","0.31612110137939453","0.31612110137939453","0.8095402717590332","0.8095402717590332","0.8095402717590332","2.481646776199341","2.481646776199341","2.481646776199341","0.31876811385154724","0.31876811385154724","0.31876811385154724","0.8096203207969666","0.8096203207969666","0.8096203207969666"
"1199","2.4605281352996826","2.4605281352996826","2.4605281352996826","0.38640114665031433","0.38640114665031433","0.38640114665031433","0.858902096748352","0.858902096748352","0.858902096748352","2.460853338241577","2.460853338241577","2.460853338241577","0.3882755637168884","0.3882755637168884","0.3882755637168884","0.8586814999580383","0.8586814999580383","0.8586814999580383"
"1799","2.4593944549560547","2.4593944549560547","2.4593944549560547","0.4263337552547455","0.4263337552547455","0.4263337552547455","0.8816356062889099","0.8816356062889099","0.8816356062889099","2.4602890014648438","2.4602890014648438","2.4602890014648438","0.4276370108127594","0.4276370108127594","0.4276370108127594","0.8815685510635376","0.8815685510635376","0.8815685510635376"
"2399","2.488372564315796","2.488372564315796","2.488372564315796","0.4558488428592682","0.4558488428592682","0.4558488428592682","0.8940837979316711","0.8940837979316711","0.8940837979316711","2.4884755611419678","2.4884755611419678","2.4884755611419678","0.4569130539894104","0.4569130539894104","0.4569130539894104","0.8940221667289734","0.8940221667289734","0.8940221667289734"
"2999","2.4791221618652344","2.4791221618652344","2.4791221618652344","0.47491270303726196","0.47491270303726196","0.47491270303726196","0.9015020728111267","0.9015020728111267","0.9015020728111267","2.4798660278320312","2.4798660278320312","2.4798660278320312","0.4757329523563385","0.4757329523563385","0.4757329523563385","0.9015741348266602","0.9015741348266602","0.9015741348266602"
"3599","2.4892847537994385","2.4892847537994385","2.4892847537994385","0.4931769371032715","0.4931769371032715","0.4931769371032715","0.9071441888809204","0.9071441888809204","0.9071441888809204","2.4907796382904053","2.4907796382904053","2.4907796382904053","0.493833988904953","0.493833988904953","0.493833988904953","0.9070653915405273","0.9070653915405273","0.9070653915405273"
"4199","2.5070247650146484","2.5070247650146484","2.5070247650146484","0.5007199645042419","0.5007199645042419","0.5007199645042419","0.9078647494316101","0.9078647494316101","0.9078647494316101","2.508388042449951","2.508388042449951","2.508388042449951","0.5013787746429443","0.5013787746429443","0.5013787746429443","0.9079815149307251","0.9079815149307251","0.9079815149307251"
"4799","2.5121097564697266","2.5121097564697266","2.5121097564697266","0.5110461711883545","0.5110461711883545","0.5110461711883545","0.91146320104599","0.91146320104599","0.91146320104599","2.5123848915100098","2.5123848915100098","2.5123848915100098","0.5116189122200012","0.5116189122200012","0.5116189122200012","0.9114198684692383","0.9114198684692383","0.9114198684692383"
"5399","2.5308876037597656","2.5308876037597656","2.5308876037597656","0.5185841917991638","0.5185841917991638","0.5185841917991638","0.9159347414970398","0.9159347414970398","0.9159347414970398","2.532470703125","2.532470703125","2.532470703125","0.5190593004226685","0.5190593004226685","0.5190593004226685","0.9158492088317871","0.9158492088317871","0.9158492088317871"
"5999","2.5291175842285156","2.5291175842285156","2.5291175842285156","0.5239316821098328","0.5239316821098328","0.5239316821098328","0.9171560406684875","0.9171560406684875","0.9171560406684875","2.5293538570404053","2.5293538570404053","2.5293538570404053","0.524482786655426","0.524482786655426","0.524482786655426","0.9170164465904236","0.9170164465904236","0.9170164465904236"
