"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_TheStackJava - shrinkage.l2_ratio__MAX"
"599","2.5107829570770264","2.5107829570770264","2.5107829570770264","0.5725141763687134","0.5725141763687134","0.5725141763687134","0.9287075400352478","0.9287075400352478","0.9287075400352478","2.5311203002929688","2.5311203002929688","2.5311203002929688","0.5817667245864868","0.5817667245864868","0.5817667245864868","0.9337596297264099","0.9337596297264099","0.9337596297264099"
"1199","2.578188419342041","2.578188419342041","2.578188419342041","0.6139809489250183","0.6139809489250183","0.6139809489250183","0.9584062695503235","0.9584062695503235","0.9584062695503235","2.599801540374756","2.599801540374756","2.599801540374756","0.6199322938919067","0.6199322938919067","0.6199322938919067","0.9614233374595642","0.9614233374595642","0.9614233374595642"
"1799","2.600372076034546","2.600372076034546","2.600372076034546","0.6251233220100403","0.6251233220100403","0.6251233220100403","0.9668765068054199","0.9668765068054199","0.9668765068054199","2.626312017440796","2.626312017440796","2.626312017440796","0.6292807459831238","0.6292807459831238","0.6292807459831238","0.9685595631599426","0.9685595631599426","0.9685595631599426"
"2399","2.621938467025757","2.621938467025757","2.621938467025757","0.6347123384475708","0.6347123384475708","0.6347123384475708","0.9716394543647766","0.9716394543647766","0.9716394543647766","2.642300844192505","2.642300844192505","2.642300844192505","0.6361921429634094","0.6361921429634094","0.6361921429634094","0.9731491208076477","0.9731491208076477","0.9731491208076477"
"2999","2.629901647567749","2.629901647567749","2.629901647567749","0.6374721527099609","0.6374721527099609","0.6374721527099609","0.9734346270561218","0.9734346270561218","0.9734346270561218","2.639392614364624","2.639392614364624","2.639392614364624","0.6381098628044128","0.6381098628044128","0.6381098628044128","0.9740002751350403","0.9740002751350403","0.9740002751350403"
"3599","2.6336421966552734","2.6336421966552734","2.6336421966552734","0.6378185749053955","0.6378185749053955","0.6378185749053955","0.9756208658218384","0.9756208658218384","0.9756208658218384","2.631700277328491","2.631700277328491","2.631700277328491","0.6378841400146484","0.6378841400146484","0.6378841400146484","0.9763621687889099","0.9763621687889099","0.9763621687889099"
"4199","2.6380879878997803","2.6380879878997803","2.6380879878997803","0.640036404132843","0.640036404132843","0.640036404132843","0.9741737246513367","0.9741737246513367","0.9741737246513367","2.6474804878234863","2.6474804878234863","2.6474804878234863","0.6401076316833496","0.6401076316833496","0.6401076316833496","0.9759315848350525","0.9759315848350525","0.9759315848350525"
"4799","2.63848614692688","2.63848614692688","2.63848614692688","0.6382856965065002","0.6382856965065002","0.6382856965065002","0.9744248390197754","0.9744248390197754","0.9744248390197754","2.640867233276367","2.640867233276367","2.640867233276367","0.6375464200973511","0.6375464200973511","0.6375464200973511","0.9762091636657715","0.9762091636657715","0.9762091636657715"
"5399","2.6395466327667236","2.6395466327667236","2.6395466327667236","0.6392385363578796","0.6392385363578796","0.6392385363578796","0.9765780568122864","0.9765780568122864","0.9765780568122864","2.6436209678649902","2.6436209678649902","2.6436209678649902","0.6404935121536255","0.6404935121536255","0.6404935121536255","0.976658046245575","0.976658046245575","0.976658046245575"
"5999","2.63938307762146","2.63938307762146","2.63938307762146","0.6390625238418579","0.6390625238418579","0.6390625238418579","0.9761167764663696","0.9761167764663696","0.9761167764663696","2.63775897026062","2.63775897026062","2.63775897026062","0.6393775343894958","0.6393775343894958","0.6393775343894958","0.9765273928642273","0.9765273928642273","0.9765273928642273"
"6599","2.639530658721924","2.639530658721924","2.639530658721924","0.6402613520622253","0.6402613520622253","0.6402613520622253","0.978646457195282","0.978646457195282","0.978646457195282","2.6450603008270264","2.6450603008270264","2.6450603008270264","0.6406636834144592","0.6406636834144592","0.6406636834144592","0.9768216013908386","0.9768216013908386","0.9768216013908386"
"7199","2.6387081146240234","2.6387081146240234","2.6387081146240234","0.6392142176628113","0.6392142176628113","0.6392142176628113","0.9766963124275208","0.9766963124275208","0.9766963124275208","2.643777370452881","2.643777370452881","2.643777370452881","0.6395642161369324","0.6395642161369324","0.6395642161369324","0.9777299761772156","0.9777299761772156","0.9777299761772156"
"7799","2.639747381210327","2.639747381210327","2.639747381210327","0.63938307762146","0.63938307762146","0.63938307762146","0.976753830909729","0.976753830909729","0.976753830909729","2.6406471729278564","2.6406471729278564","2.6406471729278564","0.6391904950141907","0.6391904950141907","0.6391904950141907","0.9761226773262024","0.9761226773262024","0.9761226773262024"
"8399","2.6407437324523926","2.6407437324523926","2.6407437324523926","0.6398367881774902","0.6398367881774902","0.6398367881774902","0.9768001437187195","0.9768001437187195","0.9768001437187195","2.6434855461120605","2.6434855461120605","2.6434855461120605","0.6396440863609314","0.6396440863609314","0.6396440863609314","0.9783922433853149","0.9783922433853149","0.9783922433853149"
"8999","2.6396329402923584","2.6396329402923584","2.6396329402923584","0.6391147971153259","0.6391147971153259","0.6391147971153259","0.9776474237442017","0.9776474237442017","0.9776474237442017","2.6423637866973877","2.6423637866973877","2.6423637866973877","0.6398164629936218","0.6398164629936218","0.6398164629936218","0.9773640036582947","0.9773640036582947","0.9773640036582947"
"9599","2.63897967338562","2.63897967338562","2.63897967338562","0.6397027373313904","0.6397027373313904","0.6397027373313904","0.9764024615287781","0.9764024615287781","0.9764024615287781","2.643622636795044","2.643622636795044","2.643622636795044","0.639858067035675","0.639858067035675","0.639858067035675","0.9779543280601501","0.9779543280601501","0.9779543280601501"
"10199","2.637439012527466","2.637439012527466","2.637439012527466","0.6403899788856506","0.6403899788856506","0.6403899788856506","0.9774380922317505","0.9774380922317505","0.9774380922317505","2.639077663421631","2.639077663421631","2.639077663421631","0.640422523021698","0.640422523021698","0.640422523021698","0.9766031503677368","0.9766031503677368","0.9766031503677368"
"10799","2.639861822128296","2.639861822128296","2.639861822128296","0.6399696469306946","0.6399696469306946","0.6399696469306946","0.9781076312065125","0.9781076312065125","0.9781076312065125","2.6415555477142334","2.6415555477142334","2.6415555477142334","0.6403762102127075","0.6403762102127075","0.6403762102127075","0.9767314791679382","0.9767314791679382","0.9767314791679382"
"11399","2.641355276107788","2.641355276107788","2.641355276107788","0.6396471858024597","0.6396471858024597","0.6396471858024597","0.9775698781013489","0.9775698781013489","0.9775698781013489","2.6446616649627686","2.6446616649627686","2.6446616649627686","0.6396557092666626","0.6396557092666626","0.6396557092666626","0.9765750169754028","0.9765750169754028","0.9765750169754028"
"11999","2.63901686668396","2.63901686668396","2.63901686668396","0.6395332217216492","0.6395332217216492","0.6395332217216492","0.9765664935112","0.9765664935112","0.9765664935112","2.6402077674865723","2.6402077674865723","2.6402077674865723","0.6398993730545044","0.6398993730545044","0.6398993730545044","0.9780814051628113","0.9780814051628113","0.9780814051628113"
"12599","2.6404590606689453","2.6404590606689453","2.6404590606689453","0.6403666734695435","0.6403666734695435","0.6403666734695435","0.9782819747924805","0.9782819747924805","0.9782819747924805","2.6427154541015625","2.6427154541015625","2.6427154541015625","0.6405248045921326","0.6405248045921326","0.6405248045921326","0.9772060513496399","0.9772060513496399","0.9772060513496399"
"13199","2.640423536300659","2.640423536300659","2.640423536300659","0.6403779983520508","0.6403779983520508","0.6403779983520508","0.9769462943077087","0.9769462943077087","0.9769462943077087","2.6440141201019287","2.6440141201019287","2.6440141201019287","0.6401203274726868","0.6401203274726868","0.6401203274726868","0.9783603549003601","0.9783603549003601","0.9783603549003601"
"13799","2.642197370529175","2.642197370529175","2.642197370529175","0.6388112902641296","0.6388112902641296","0.6388112902641296","0.9765545129776001","0.9765545129776001","0.9765545129776001","2.640673875808716","2.640673875808716","2.640673875808716","0.6390281915664673","0.6390281915664673","0.6390281915664673","0.9785472750663757","0.9785472750663757","0.9785472750663757"
"14399","2.6430275440216064","2.6430275440216064","2.6430275440216064","0.639621913433075","0.639621913433075","0.639621913433075","0.9770151376724243","0.9770151376724243","0.9770151376724243","2.6430156230926514","2.6430156230926514","2.6430156230926514","0.6400758624076843","0.6400758624076843","0.6400758624076843","0.9773255586624146","0.9773255586624146","0.9773255586624146"
"14999","2.6353976726531982","2.6353976726531982","2.6353976726531982","0.6388280391693115","0.6388280391693115","0.6388280391693115","0.9777914881706238","0.9777914881706238","0.9777914881706238","2.641045093536377","2.641045093536377","2.641045093536377","0.6388376951217651","0.6388376951217651","0.6388376951217651","0.9777542352676392","0.9777542352676392","0.9777542352676392"
"15599","2.6447391510009766","2.6447391510009766","2.6447391510009766","0.6388850808143616","0.6388850808143616","0.6388850808143616","0.9766442179679871","0.9766442179679871","0.9766442179679871","2.6416242122650146","2.6416242122650146","2.6416242122650146","0.6396889090538025","0.6396889090538025","0.6396889090538025","0.9802729487419128","0.9802729487419128","0.9802729487419128"
"16199","2.6402976512908936","2.6402976512908936","2.6402976512908936","0.6395228505134583","0.6395228505134583","0.6395228505134583","0.9765844345092773","0.9765844345092773","0.9765844345092773","2.641281843185425","2.641281843185425","2.641281843185425","0.6403208374977112","0.6403208374977112","0.6403208374977112","0.9768897294998169","0.9768897294998169","0.9768897294998169"
"16799","2.644972562789917","2.644972562789917","2.644972562789917","0.6397988796234131","0.6397988796234131","0.6397988796234131","0.9766939282417297","0.9766939282417297","0.9766939282417297","2.640856981277466","2.640856981277466","2.640856981277466","0.6400175094604492","0.6400175094604492","0.6400175094604492","0.9780067801475525","0.9780067801475525","0.9780067801475525"
"17399","2.6395413875579834","2.6395413875579834","2.6395413875579834","0.6400509476661682","0.6400509476661682","0.6400509476661682","0.9776156544685364","0.9776156544685364","0.9776156544685364","2.6399714946746826","2.6399714946746826","2.6399714946746826","0.6394261121749878","0.6394261121749878","0.6394261121749878","0.9762182235717773","0.9762182235717773","0.9762182235717773"
"17999","2.6403775215148926","2.6403775215148926","2.6403775215148926","0.640601634979248","0.640601634979248","0.640601634979248","0.9764891862869263","0.9764891862869263","0.9764891862869263","2.6449809074401855","2.6449809074401855","2.6449809074401855","0.640580952167511","0.640580952167511","0.640580952167511","0.9773328900337219","0.9773328900337219","0.9773328900337219"
"18599","2.644678831100464","2.644678831100464","2.644678831100464","0.6397424936294556","0.6397424936294556","0.6397424936294556","0.9767331480979919","0.9767331480979919","0.9767331480979919","2.6456291675567627","2.6456291675567627","2.6456291675567627","0.6392837762832642","0.6392837762832642","0.6392837762832642","0.9771938323974609","0.9771938323974609","0.9771938323974609"
"19199","2.635342836380005","2.635342836380005","2.635342836380005","0.6398400664329529","0.6398400664329529","0.6398400664329529","0.9764394760131836","0.9764394760131836","0.9764394760131836","2.6401453018188477","2.6401453018188477","2.6401453018188477","0.6412546634674072","0.6412546634674072","0.6412546634674072","0.9771959185600281","0.9771959185600281","0.9771959185600281"
"19799","2.6439032554626465","2.6439032554626465","2.6439032554626465","0.6402394771575928","0.6402394771575928","0.6402394771575928","0.97674161195755","0.97674161195755","0.97674161195755","2.643599271774292","2.643599271774292","2.643599271774292","0.6402983069419861","0.6402983069419861","0.6402983069419861","0.977238655090332","0.977238655090332","0.977238655090332"
