"Step","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_gated_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","2.3832175731658936","2.3832175731658936","2.3832175731658936","0.4624098241329193","0.4624098241329193","0.4624098241329193","0.8880922198295593","0.8880922198295593","0.8880922198295593","2.3836734294891357","2.3836734294891357","2.3836734294891357","0.4634818136692047","0.4634818136692047","0.4634818136692047","0.8891302347183228","0.8891302347183228","0.8891302347183228"
"1199","2.390700101852417","2.390700101852417","2.390700101852417","0.5074766278266907","0.5074766278266907","0.5074766278266907","0.9324870109558105","0.9324870109558105","0.9324870109558105","2.390068292617798","2.390068292617798","2.390068292617798","0.5087944865226746","0.5087944865226746","0.5087944865226746","0.9327294230461121","0.9327294230461121","0.9327294230461121"
"1799","2.3957250118255615","2.3957250118255615","2.3957250118255615","0.5263392329216003","0.5263392329216003","0.5263392329216003","0.9457213282585144","0.9457213282585144","0.9457213282585144","2.396411657333374","2.396411657333374","2.396411657333374","0.5274874567985535","0.5274874567985535","0.5274874567985535","0.9459938406944275","0.9459938406944275","0.9459938406944275"
"2399","2.412498950958252","2.412498950958252","2.412498950958252","0.5382015705108643","0.5382015705108643","0.5382015705108643","0.9519211053848267","0.9519211053848267","0.9519211053848267","2.4134349822998047","2.4134349822998047","2.4134349822998047","0.5395127534866333","0.5395127534866333","0.5395127534866333","0.9528287053108215","0.9528287053108215","0.9528287053108215"
"2999","2.4106996059417725","2.4106996059417725","2.4106996059417725","0.5497975945472717","0.5497975945472717","0.5497975945472717","0.9650020003318787","0.9650020003318787","0.9650020003318787","2.410381317138672","2.410381317138672","2.410381317138672","0.5506668090820312","0.5506668090820312","0.5506668090820312","0.9652290344238281","0.9652290344238281","0.9652290344238281"
"3599","2.4211864471435547","2.4211864471435547","2.4211864471435547","0.559015691280365","0.559015691280365","0.559015691280365","0.9593392610549927","0.9593392610549927","0.9593392610549927","2.420239210128784","2.420239210128784","2.420239210128784","0.5591859817504883","0.5591859817504883","0.5591859817504883","0.9596113562583923","0.9596113562583923","0.9596113562583923"
"4199","2.418217897415161","2.418217897415161","2.418217897415161","0.5666884779930115","0.5666884779930115","0.5666884779930115","0.9643993377685547","0.9643993377685547","0.9643993377685547","2.419755697250366","2.419755697250366","2.419755697250366","0.5672544836997986","0.5672544836997986","0.5672544836997986","0.9639984369277954","0.9639984369277954","0.9639984369277954"
"4799","2.4265620708465576","2.4265620708465576","2.4265620708465576","0.569950520992279","0.569950520992279","0.569950520992279","0.9678699374198914","0.9678699374198914","0.9678699374198914","2.4283559322357178","2.4283559322357178","2.4283559322357178","0.5701703429222107","0.5701703429222107","0.5701703429222107","0.967636227607727","0.967636227607727","0.967636227607727"
"5399","2.398587942123413","2.398587942123413","2.398587942123413","0.5704753398895264","0.5704753398895264","0.5704753398895264","0.9699104428291321","0.9699104428291321","0.9699104428291321","2.399686574935913","2.399686574935913","2.399686574935913","0.570360004901886","0.570360004901886","0.570360004901886","0.9691721200942993","0.9691721200942993","0.9691721200942993"
"5999","2.4389445781707764","2.4389445781707764","2.4389445781707764","0.5775181651115417","0.5775181651115417","0.5775181651115417","0.9672970175743103","0.9672970175743103","0.9672970175743103","2.436413049697876","2.436413049697876","2.436413049697876","0.5779393315315247","0.5779393315315247","0.5779393315315247","0.9680129289627075","0.9680129289627075","0.9680129289627075"
"6599","2.4482107162475586","2.4482107162475586","2.4482107162475586","0.580094039440155","0.580094039440155","0.580094039440155","0.9735798239707947","0.9735798239707947","0.9735798239707947","2.4487416744232178","2.4487416744232178","2.4487416744232178","0.5808025598526001","0.5808025598526001","0.5808025598526001","0.9734098315238953","0.9734098315238953","0.9734098315238953"
"7199","2.445709466934204","2.445709466934204","2.445709466934204","0.5876180529594421","0.5876180529594421","0.5876180529594421","0.9723482131958008","0.9723482131958008","0.9723482131958008","2.445833921432495","2.445833921432495","2.445833921432495","0.5881789922714233","0.5881789922714233","0.5881789922714233","0.9716022610664368","0.9716022610664368","0.9716022610664368"
"7799","2.425943374633789","2.425943374633789","2.425943374633789","0.5798085927963257","0.5798085927963257","0.5798085927963257","0.9742423892021179","0.9742423892021179","0.9742423892021179","2.4270856380462646","2.4270856380462646","2.4270856380462646","0.580305814743042","0.580305814743042","0.580305814743042","0.9743017554283142","0.9743017554283142","0.9743017554283142"
"8399","2.4580187797546387","2.4580187797546387","2.4580187797546387","0.5839425325393677","0.5839425325393677","0.5839425325393677","0.9759321212768555","0.9759321212768555","0.9759321212768555","2.460202932357788","2.460202932357788","2.460202932357788","0.58433598279953","0.58433598279953","0.58433598279953","0.9755502939224243","0.9755502939224243","0.9755502939224243"
"8999","2.448134183883667","2.448134183883667","2.448134183883667","0.582156777381897","0.582156777381897","0.582156777381897","0.9806352853775024","0.9806352853775024","0.9806352853775024","2.4434432983398438","2.4434432983398438","2.4434432983398438","0.5823445916175842","0.5823445916175842","0.5823445916175842","0.9798006415367126","0.9798006415367126","0.9798006415367126"
"9599","2.4451637268066406","2.4451637268066406","2.4451637268066406","0.5840603709220886","0.5840603709220886","0.5840603709220886","0.9755734801292419","0.9755734801292419","0.9755734801292419","2.445209503173828","2.445209503173828","2.445209503173828","0.5844293832778931","0.5844293832778931","0.5844293832778931","0.9729129076004028","0.9729129076004028","0.9729129076004028"
"10199","2.449436902999878","2.449436902999878","2.449436902999878","0.5865416526794434","0.5865416526794434","0.5865416526794434","0.9752885699272156","0.9752885699272156","0.9752885699272156","2.4492955207824707","2.4492955207824707","2.4492955207824707","0.5869011878967285","0.5869011878967285","0.5869011878967285","0.9760817885398865","0.9760817885398865","0.9760817885398865"
"10799","2.4517810344696045","2.4517810344696045","2.4517810344696045","0.5874205827713013","0.5874205827713013","0.5874205827713013","0.9812374114990234","0.9812374114990234","0.9812374114990234","2.4470314979553223","2.4470314979553223","2.4470314979553223","0.5870873332023621","0.5870873332023621","0.5870873332023621","0.9803337454795837","0.9803337454795837","0.9803337454795837"
"11399","2.448132038116455","2.448132038116455","2.448132038116455","0.5877004861831665","0.5877004861831665","0.5877004861831665","0.9775719046592712","0.9775719046592712","0.9775719046592712","2.448498487472534","2.448498487472534","2.448498487472534","0.5876357555389404","0.5876357555389404","0.5876357555389404","0.9790382385253906","0.9790382385253906","0.9790382385253906"
"11999","2.461437940597534","2.461437940597534","2.461437940597534","0.5908660888671875","0.5908660888671875","0.5908660888671875","0.9750062823295593","0.9750062823295593","0.9750062823295593","2.460390090942383","2.460390090942383","2.460390090942383","0.5908144116401672","0.5908144116401672","0.5908144116401672","0.975738525390625","0.975738525390625","0.975738525390625"
"12599","2.455881118774414","2.455881118774414","2.455881118774414","0.5905782580375671","0.5905782580375671","0.5905782580375671","0.9860979914665222","0.9860979914665222","0.9860979914665222","2.4552371501922607","2.4552371501922607","2.4552371501922607","0.5911238789558411","0.5911238789558411","0.5911238789558411","0.9865427017211914","0.9865427017211914","0.9865427017211914"
"13199","2.453040838241577","2.453040838241577","2.453040838241577","0.5899603962898254","0.5899603962898254","0.5899603962898254","0.9758559465408325","0.9758559465408325","0.9758559465408325","2.4518654346466064","2.4518654346466064","2.4518654346466064","0.5894291400909424","0.5894291400909424","0.5894291400909424","0.9755687713623047","0.9755687713623047","0.9755687713623047"
"13799","2.444004535675049","2.444004535675049","2.444004535675049","0.5888662338256836","0.5888662338256836","0.5888662338256836","0.9806042909622192","0.9806042909622192","0.9806042909622192","2.4453961849212646","2.4453961849212646","2.4453961849212646","0.5892624855041504","0.5892624855041504","0.5892624855041504","0.9803122878074646","0.9803122878074646","0.9803122878074646"
"14399","2.4520039558410645","2.4520039558410645","2.4520039558410645","0.5895752310752869","0.5895752310752869","0.5895752310752869","0.9804979562759399","0.9804979562759399","0.9804979562759399","2.449049472808838","2.449049472808838","2.449049472808838","0.5887435674667358","0.5887435674667358","0.5887435674667358","0.9799461364746094","0.9799461364746094","0.9799461364746094"
