"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - losses/mse_loss__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - losses/mse_loss__MAX"
"29","1739.005126953125","1739.005126953125","1739.005126953125","166.37188720703125","166.37188720703125","166.37188720703125","315.9795837402344","315.9795837402344","315.9795837402344","1748.4615478515625","1748.4615478515625","1748.4615478515625","166.95758056640625","166.95758056640625","166.95758056640625","314.9363098144531","314.9363098144531","314.9363098144531"
"59","740.6004638671875","740.6004638671875","740.6004638671875","100.81005859375","100.81005859375","100.81005859375","136.66993713378906","136.66993713378906","136.66993713378906","730.31396484375","730.31396484375","730.31396484375","98.97834777832031","98.97834777832031","98.97834777832031","134.25328063964844","134.25328063964844","134.25328063964844"
"89","491.2434387207031","491.2434387207031","491.2434387207031","87.50431823730469","87.50431823730469","87.50431823730469","130.87039184570312","130.87039184570312","130.87039184570312","482.8068542480469","482.8068542480469","482.8068542480469","84.27665710449219","84.27665710449219","84.27665710449219","126.78569030761719","126.78569030761719","126.78569030761719"
"119","462.6545104980469","462.6545104980469","462.6545104980469","78.74673461914062","78.74673461914062","78.74673461914062","124.71356964111328","124.71356964111328","124.71356964111328","453.3724060058594","453.3724060058594","453.3724060058594","76.0771255493164","76.0771255493164","76.0771255493164","120.71269226074219","120.71269226074219","120.71269226074219"
"149","386.2177734375","386.2177734375","386.2177734375","112.07443237304688","112.07443237304688","112.07443237304688","169.42369079589844","169.42369079589844","169.42369079589844","378.27740478515625","378.27740478515625","378.27740478515625","109.47050476074219","109.47050476074219","109.47050476074219","168.99659729003906","168.99659729003906","168.99659729003906"
"179","316.8542785644531","316.8542785644531","316.8542785644531","83.18419647216797","83.18419647216797","83.18419647216797","115.87326049804688","115.87326049804688","115.87326049804688","308.9403381347656","308.9403381347656","308.9403381347656","80.79945373535156","80.79945373535156","80.79945373535156","116.50362396240234","116.50362396240234","116.50362396240234"
"209","274.6791687011719","274.6791687011719","274.6791687011719","48.07418441772461","48.07418441772461","48.07418441772461","65.64356994628906","65.64356994628906","65.64356994628906","267.47723388671875","267.47723388671875","267.47723388671875","45.360843658447266","45.360843658447266","45.360843658447266","63.14830017089844","63.14830017089844","63.14830017089844"
"239","270.8394775390625","270.8394775390625","270.8394775390625","49.551082611083984","49.551082611083984","49.551082611083984","58.73697280883789","58.73697280883789","58.73697280883789","261.02880859375","261.02880859375","261.02880859375","46.79281234741211","46.79281234741211","46.79281234741211","56.41901779174805","56.41901779174805","56.41901779174805"
"269","216.97854614257812","216.97854614257812","216.97854614257812","40.371734619140625","40.371734619140625","40.371734619140625","41.49879837036133","41.49879837036133","41.49879837036133","210.1422576904297","210.1422576904297","210.1422576904297","37.74755859375","37.74755859375","37.74755859375","39.39488983154297","39.39488983154297","39.39488983154297"
"299","239.42640686035156","239.42640686035156","239.42640686035156","46.69694137573242","46.69694137573242","46.69694137573242","66.09302520751953","66.09302520751953","66.09302520751953","230.23248291015625","230.23248291015625","230.23248291015625","43.57426071166992","43.57426071166992","43.57426071166992","63.72657012939453","63.72657012939453","63.72657012939453"
