"Step","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_false_project_Devign - shrinkage.l2_ratio__MAX","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_10_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_5_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MIN","layer_0_hook_mlp_out_gpt2_jumprelu_fisher_true_project_Devign - shrinkage.l2_ratio__MAX"
"599","2.4665191173553467","2.4665191173553467","2.4665191173553467","0.5823818445205688","0.5823818445205688","0.5823818445205688","0.9569493532180786","0.9569493532180786","0.9569493532180786","2.4840097427368164","2.4840097427368164","2.4840097427368164","0.5889981389045715","0.5889981389045715","0.5889981389045715","0.959429919719696","0.959429919719696","0.959429919719696"
"1199","2.509326219558716","2.509326219558716","2.509326219558716","0.6136441826820374","0.6136441826820374","0.6136441826820374","0.9754557013511658","0.9754557013511658","0.9754557013511658","2.5309102535247803","2.5309102535247803","2.5309102535247803","0.6184946894645691","0.6184946894645691","0.6184946894645691","0.9783161282539368","0.9783161282539368","0.9783161282539368"
"1799","2.5329010486602783","2.5329010486602783","2.5329010486602783","0.6238719820976257","0.6238719820976257","0.6238719820976257","0.9829427599906921","0.9829427599906921","0.9829427599906921","2.550220251083374","2.550220251083374","2.550220251083374","0.6273455023765564","0.6273455023765564","0.6273455023765564","0.9842613339424133","0.9842613339424133","0.9842613339424133"
"2399","2.546273946762085","2.546273946762085","2.546273946762085","0.6315560340881348","0.6315560340881348","0.6315560340881348","0.9877824783325195","0.9877824783325195","0.9877824783325195","2.553504228591919","2.553504228591919","2.553504228591919","0.6344668865203857","0.6344668865203857","0.6344668865203857","0.9911155700683594","0.9911155700683594","0.9911155700683594"
"2999","2.552525758743286","2.552525758743286","2.552525758743286","0.6356062889099121","0.6356062889099121","0.6356062889099121","0.990622341632843","0.990622341632843","0.990622341632843","2.5625572204589844","2.5625572204589844","2.5625572204589844","0.6369513869285583","0.6369513869285583","0.6369513869285583","0.9932857751846313","0.9932857751846313","0.9932857751846313"
"3599","2.560103178024292","2.560103178024292","2.560103178024292","0.6382593512535095","0.6382593512535095","0.6382593512535095","0.9917093515396118","0.9917093515396118","0.9917093515396118","2.558889150619507","2.558889150619507","2.558889150619507","0.6386206746101379","0.6386206746101379","0.6386206746101379","0.9932722449302673","0.9932722449302673","0.9932722449302673"
"4199","2.559629440307617","2.559629440307617","2.559629440307617","0.6384588479995728","0.6384588479995728","0.6384588479995728","0.9952712059020996","0.9952712059020996","0.9952712059020996","2.5655758380889893","2.5655758380889893","2.5655758380889893","0.6382049918174744","0.6382049918174744","0.6382049918174744","0.9942585825920105","0.9942585825920105","0.9942585825920105"
"4799","2.56201171875","2.56201171875","2.56201171875","0.6382893919944763","0.6382893919944763","0.6382893919944763","0.986973762512207","0.986973762512207","0.986973762512207","2.5659022331237793","2.5659022331237793","2.5659022331237793","0.6380993127822876","0.6380993127822876","0.6380993127822876","0.9992504119873047","0.9992504119873047","0.9992504119873047"
"5399","2.562455177307129","2.562455177307129","2.562455177307129","0.6375874876976013","0.6375874876976013","0.6375874876976013","0.9922815561294556","0.9922815561294556","0.9922815561294556","2.560199022293091","2.560199022293091","2.560199022293091","0.6378268599510193","0.6378268599510193","0.6378268599510193","0.9937705993652344","0.9937705993652344","0.9937705993652344"
"5999","2.5680065155029297","2.5680065155029297","2.5680065155029297","0.6389331817626953","0.6389331817626953","0.6389331817626953","0.9936687350273132","0.9936687350273132","0.9936687350273132","2.5666770935058594","2.5666770935058594","2.5666770935058594","0.6394670605659485","0.6394670605659485","0.6394670605659485","0.9942665100097656","0.9942665100097656","0.9942665100097656"
